"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","496","refreshEdr()","","Mon May 18 12:24:08 UTC 2026","passed","Mon May 18 12:24:09 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr"
"","6120","httpPushDataTransfer()","","Mon May 18 12:28:50 UTC 2026","passed","Mon May 18 12:28:56 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer"
"","286","Verify that the consumer receives only the offers he is permitted to (using the new BPN validation)","","Mon May 18 12:25:12 UTC 2026","passed","Mon May 18 12:25:12 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","requestCatalog_filteredByBpn_shouldReject"
"","1306","Expect the Catalog request to fail if a credential is expired","","Mon May 18 12:25:01 UTC 2026","passed","Mon May 18 12:25:02 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","catalogRequest_whenCredentialExpired"
"","64","Policy is accepted ""Version Changes""","","Mon May 18 12:24:27 UTC 2026","passed","Mon May 18 12:24:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","77","Policy is accepted ""Data Usage End Duration Days""","","Mon May 18 12:24:27 UTC 2026","passed","Mon May 18 12:24:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","84","Policy is accepted ""Jurisdiction Location""","","Mon May 18 12:24:27 UTC 2026","passed","Mon May 18 12:24:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","278","Verify that the consumer receives only the offers he is permitted to (using the new BPN validation)","","Mon May 18 12:24:50 UTC 2026","passed","Mon May 18 12:24:50 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_shouldReject"
"","85","5.4.2.2 Verifier should accept a presentation response message that contains more credentials than requested","","Mon May 18 12:24:06 UTC 2026","passed","Mon May 18 12:24:06 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_02_presentationResponse_tooManyCredentials"
"","4","verifyCorrectParticipantAgentId_forDsp08(DataspaceProfileContextRegistry)","","Mon May 18 12:25:40 UTC 2026","passed","Mon May 18 12:25:40 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyCorrectParticipantAgentId_forDsp08"
"","5915","transferData_successful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon May 18 12:27:33 UTC 2026","passed","Mon May 18 12:27:38 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_successful_notReturnOriginalSourceResponseCode_withTerminate"
"","50","Policy is not accepted due to missing context ""Affiliates Region""","","Mon May 18 12:24:29 UTC 2026","passed","Mon May 18 12:24:29 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","230","discoveryShouldReturn2025DspParams_BpnAsIdentifier()","","Mon May 18 12:24:13 UTC 2026","passed","Mon May 18 12:24:14 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn2025DspParams_BpnAsIdentifier"
"","262","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon May 18 12:25:12 UTC 2026","passed","Mon May 18 12:25:13 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","org.eclipse.tractusx.edc.tests.catalog.CatalogTestDspV08","requestCatalog_filteredByBpnLegacy_shouldReject"
"","5032","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon May 18 12:25:52 UTC 2026","passed","Mon May 18 12:25:57 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody"
"","128","Policy is accepted ""DataExchangeGovernance use case""","","Mon May 18 12:24:26 UTC 2026","passed","Mon May 18 12:24:26 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","5016","transferData_failing_withProxyOriginalResponse()","","Mon May 18 12:25:34 UTC 2026","passed","Mon May 18 12:25:39 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse"
"","828","triggerDataTransfer_shouldFail_whenDataFlowIsNotPushFlowType()","","Mon May 18 12:24:12 UTC 2026","passed","Mon May 18 12:24:13 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsNotPushFlowType"
"","161617","assertDspCompatibility()","","Mon May 18 12:24:20 UTC 2026","passed","Mon May 18 12:27:02 UTC 2026","","org.eclipse.tractusx.edc.tests.tck.dsp.EdcCompatibilityPostgresTest","org.eclipse.tractusx.edc.tests.tck.dsp.EdcCompatibilityPostgresTest","assertDspCompatibility"
"","2058","transferFile_targetContainerNotExist_shouldFail(Vault)","","Mon May 18 12:24:49 UTC 2026","passed","Mon May 18 12:24:51 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_targetContainerNotExist_shouldFail"
"","46","Policy is not accepted due to missing context ""Warranty Duration Months""","","Mon May 18 12:24:30 UTC 2026","passed","Mon May 18 12:24:30 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2059","transferMultipleFiles()","","Mon May 18 12:25:35 UTC 2026","passed","Mon May 18 12:25:37 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferMultipleFiles"
"","59","Policy is accepted ""Warranty Duration Months""","","Mon May 18 12:24:28 UTC 2026","passed","Mon May 18 12:24:28 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","27","discoveryShouldReturn2025DspParams_DidAsIdentifier()","","Mon May 18 12:24:14 UTC 2026","passed","Mon May 18 12:24:14 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn2025DspParams_DidAsIdentifier"
"","2062","transferFile_success(Vault)","","Mon May 18 12:24:45 UTC 2026","passed","Mon May 18 12:24:47 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_success"
"","53","refreshEdr_whenNotAuthorized()","","Mon May 18 12:24:15 UTC 2026","passed","Mon May 18 12:24:15 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","45","Policy is not accepted due to missing context ""Exclusive Usage""","","Mon May 18 12:24:30 UTC 2026","passed","Mon May 18 12:24:30 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","51702","Catalog with 1000 offers","","Mon May 18 12:23:58 UTC 2026","passed","Mon May 18 12:24:49 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","12664","httpPushNonFiniteDataTransfer()","","Mon May 18 12:28:11 UTC 2026","passed","Mon May 18 12:28:23 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp08to08","httpPushNonFiniteDataTransfer"
